img_id,asymmetry_score,border_score,color_score_red,color_score_green,color_score_blue,ground_truth_labels
PAT_104_1754_276.png,0.091,1.0,0.006,0.008,0.003,0
PAT_104_1755_320.png,0.321,0.064,0.011,0.009,0.008,0
PAT_104_1756_151.png,0.506,0.03,0.004,0.004,0.004,0
PAT_1051_220_356.png,0.12,0.52,0.008,0.008,0.006,0
PAT_1057_242_297.png,0.337,0.029,0.01,0.006,0.005,0
PAT_1061_254_813.png,0.043,0.188,0.001,0.001,0.0,0
PAT_1062_264_741.png,0.315,0.29,0.004,0.009,0.027,0
PAT_1063_268_704.png,0.1,0.661,0.009,0.007,0.008,0
PAT_1063_268_919.png,0.036,1.0,0.001,0.002,0.001,0
PAT_1063_269_755.png,0.1,0.431,0.006,0.009,0.019,0
PAT_1063_270_593.png,0.453,0.136,0.006,0.01,0.001,0
PAT_1063_271_448.png,0.206,0.427,0.003,0.006,0.001,0
PAT_1064_272_668.png,0.327,1.0,0.008,0.008,0.008,0
PAT_1064_273_980.png,0.036,1.0,0.002,0.003,0.003,0
PAT_1065_275_136.png,0.544,0.053,0.006,0.006,0.011,0
PAT_1065_276_231.png,0.236,0.142,0.007,0.008,0.017,0
PAT_1065_277_768.png,0.496,0.016,0.0,0.001,0.003,0
PAT_1065_278_954.png,0.507,0.012,0.0,0.0,0.0,0
PAT_1066_281_698.png,0.434,0.019,0.0,0.0,0.0,0
PAT_1066_281_99.png,0.646,0.029,0.004,0.005,0.004,0
PAT_1067_284_533.png,0.227,0.309,0.012,0.012,0.006,0
PAT_1068_285_845.png,0.214,0.101,0.002,0.003,0.004,0
PAT_106_158_249.png,0.339,0.638,0.01,0.007,0.004,0
PAT_106_158_270.png,0.297,0.781,0.01,0.009,0.005,0
PAT_106_159_325.png,0.447,0.05,0.006,0.005,0.003,0
PAT_1070_304_845.png,0.411,0.019,0.002,0.004,0.003,0
PAT_1070_305_907.png,0.406,0.024,0.0,0.0,0.0,0
PAT_1070_308_751.png,0.378,0.03,0.004,0.003,0.004,0
PAT_1071_312_841.png,0.126,0.027,0.007,0.005,0.002,0
PAT_1071_313_789.png,0.0,1.0,0.005,0.006,0.006,0
PAT_1071_314_500.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1072_318_856.png,0.357,1.0,0.008,0.008,0.007,0
PAT_1074_322_174.png,0.027,0.521,0.003,0.006,0.005,0
PAT_1074_322_242.png,0.406,0.008,0.0,0.0,0.0,0
PAT_1074_322_662.png,0.444,0.009,0.002,0.003,0.006,0
PAT_1074_322_864.png,0.142,0.256,0.003,0.002,0.004,0
PAT_1075_324_177.png,0.343,0.012,0.004,0.004,0.004,0
PAT_107_160_609.png,0.367,0.019,0.008,0.003,0.005,0
PAT_1082_342_705.png,0.1,0.028,0.002,0.0,0.001,0
PAT_1088_373_781.png,0.557,0.031,0.004,0.011,0.027,0
PAT_1089_375_60.png,0.1,0.636,0.004,0.01,0.007,0
PAT_1089_375_677.png,0.0,0.0,0.0,0.0,0.0,0
PAT_108_161_423.png,0.793,0.16,0.005,0.003,0.002,0
PAT_108_161_575.png,0.592,0.53,0.008,0.007,0.006,0
PAT_108_161_878.png,0.618,0.072,0.004,0.006,0.016,0
PAT_108_162_526.png,0.59,0.205,0.006,0.006,0.01,0
PAT_108_162_660.png,0.684,0.305,0.004,0.004,0.004,0
PAT_108_424_944.png,0.667,0.007,0.0,0.0,0.001,0
PAT_1090_376_384.png,0.161,1.0,0.004,0.006,0.009,0
PAT_1092_378_922.png,0.497,0.026,0.006,0.007,0.009,0
PAT_1093_379_273.png,0.271,1.0,0.004,0.006,0.006,0
PAT_1094_381_355.png,0.505,0.102,0.005,0.013,0.03,0
PAT_1094_381_446.png,0.201,0.17,0.002,0.005,0.016,0
PAT_1094_381_85.png,0.035,0.321,0.004,0.005,0.009,0
PAT_109_868_113.png,0.115,0.235,0.005,0.013,0.043,1
PAT_109_868_723.png,0.282,0.018,0.0,0.0,0.002,1
PAT_10_18_830.png,0.102,0.738,0.005,0.007,0.005,0
PAT_1100_402_375.png,0.277,0.038,0.012,0.013,0.015,0
PAT_1102_408_613.png,0.271,0.04,0.007,0.005,0.008,0
PAT_1105_420_520.png,0.409,0.163,0.001,0.001,0.0,0
PAT_1107_427_352.png,0.191,0.019,0.002,0.001,0.001,0
PAT_1109_436_141.png,0.271,0.03,0.002,0.004,0.023,0
PAT_1109_437_254.png,0.281,0.048,0.001,0.001,0.0,0
PAT_110_165_583.png,0.423,0.018,0.004,0.004,0.002,0
PAT_110_397_52.png,0.33,0.012,0.0,0.0,0.0,0
PAT_1112_455_845.png,0.133,0.031,0.008,0.01,0.009,0
PAT_1113_458_387.png,0.18,0.271,0.005,0.008,0.018,0
PAT_1118_470_710.png,0.74,0.05,0.0,0.0,0.0,0
PAT_1119_472_513.png,0.704,0.168,0.001,0.004,0.006,0
PAT_1122_479_664.png,0.42,0.892,0.011,0.009,0.008,0
PAT_1124_489_151.png,0.204,1.0,0.008,0.008,0.004,0
PAT_1125_492_523.png,0.423,0.011,0.002,0.003,0.001,0
PAT_1127_496_945.png,0.527,0.009,0.002,0.013,0.042,0
PAT_1128_497_29.png,0.743,1.0,0.008,0.008,0.008,0
PAT_1128_497_322.png,0.286,0.535,0.006,0.007,0.006,0
PAT_1129_498_930.png,0.102,0.145,0.004,0.006,0.008,0
PAT_112_168_360.png,0.458,0.034,0.003,0.002,0.005,0
PAT_112_171_863.png,0.514,0.018,0.001,0.003,0.004,0
PAT_1130_501_181.png,0.028,0.313,0.003,0.005,0.006,0
PAT_1132_508_325.png,0.47,0.021,0.004,0.005,0.004,0
PAT_1133_510_956.png,0.255,0.097,0.007,0.007,0.024,0
PAT_1136_517_92.png,0.855,0.143,0.006,0.006,0.005,0
PAT_1138_520_154.png,0.311,0.011,0.0,0.0,0.0,0
PAT_1139_523_682.png,0.6,0.025,0.002,0.004,0.012,0
PAT_113_172_610.png,0.461,0.375,0.004,0.004,0.009,0
PAT_1141_526_416.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1145_534_524.png,0.107,0.009,0.001,0.001,0.001,0
PAT_1145_534_529.png,0.712,0.495,0.004,0.007,0.011,0
PAT_1148_542_708.png,0.299,0.064,0.002,0.002,0.004,0
PAT_114_173_213.png,0.66,0.265,0.003,0.004,0.005,0
PAT_1151_551_241.png,0.588,0.353,0.004,0.01,0.02,0
PAT_1153_555_98.png,0.301,0.224,0.008,0.007,0.002,0
PAT_1158_570_376.png,0.364,0.007,0.001,0.0,0.001,0
PAT_115_1138_870.png,0.334,0.174,0.002,0.003,0.024,1
PAT_115_1138_970.png,0.652,0.046,0.009,0.021,0.037,1
PAT_115_175_206.png,0.5,0.074,0.0,0.003,0.027,0
PAT_115_175_283.png,0.497,0.092,0.0,0.004,0.004,0
PAT_115_176_455.png,0.502,0.869,0.006,0.006,0.018,0
PAT_115_177_575.png,0.492,0.416,0.001,0.006,0.002,0
PAT_115_177_622.png,0.495,0.337,0.0,0.002,0.001,0
PAT_1161_578_233.png,0.295,0.113,0.003,0.003,0.003,0
PAT_1170_608_367.png,0.629,0.044,0.002,0.011,0.035,0
PAT_1170_609_378.png,0.184,0.007,0.001,0.001,0.001,0
PAT_1171_615_468.png,0.501,0.023,0.003,0.003,0.007,0
PAT_1172_622_420.png,0.431,1.0,0.004,0.005,0.005,0
PAT_1174_628_915.png,0.08,0.067,0.007,0.004,0.002,0
PAT_1176_631_36.png,0.074,0.046,0.009,0.004,0.003,0
PAT_1177_633_705.png,0.036,0.362,0.001,0.001,0.0,0
PAT_1179_641_735.png,0.358,0.031,0.002,0.003,0.006,0
PAT_117_179_983.png,0.507,0.204,0.006,0.006,0.009,0
PAT_1180_650_843.png,0.159,0.105,0.01,0.008,0.003,0
PAT_1180_651_559.png,0.319,0.003,0.006,0.004,0.001,0
PAT_1181_659_231.png,0.545,0.032,0.0,0.0,0.002,0
PAT_1184_676_303.png,0.379,0.148,0.005,0.005,0.005,0
PAT_1184_676_904.png,0.374,0.011,0.0,0.0,0.0,0
PAT_1184_678_86.png,0.347,0.045,0.002,0.002,0.003,0
PAT_1185_679_115.png,0.202,0.061,0.005,0.006,0.014,0
PAT_1186_680_578.png,0.367,0.024,0.001,0.005,0.024,0
PAT_1186_681_457.png,0.21,0.008,0.007,0.011,0.01,0
PAT_118_180_386.png,0.278,0.114,0.002,0.003,0.019,0
PAT_118_180_500.png,0.296,0.087,0.002,0.002,0.018,0
PAT_1190_700_663.png,0.468,0.117,0.005,0.005,0.007,0
PAT_1197_713_520.png,0.579,0.016,0.003,0.006,0.009,0
PAT_1198_715_648.png,0.409,0.084,0.001,0.002,0.009,0
PAT_119_181_684.png,0.572,0.501,0.005,0.006,0.005,0
PAT_1202_722_827.png,0.469,0.028,0.001,0.002,0.002,0
PAT_1203_724_762.png,0.704,0.025,0.0,0.001,0.0,0
PAT_1208_736_599.png,0.3,0.059,0.002,0.002,0.005,0
PAT_1209_737_590.png,0.481,0.07,0.006,0.01,0.009,0
PAT_120_183_623.png,0.718,0.128,0.005,0.004,0.006,0
PAT_1210_738_915.png,0.628,0.072,0.005,0.006,0.01,0
PAT_1215_752_707.png,0.632,0.011,0.0,0.0,0.001,0
PAT_1216_759_365.png,0.21,0.647,0.005,0.006,0.01,0
PAT_1216_759_542.png,0.43,0.014,0.001,0.001,0.014,0
PAT_1216_760_593.png,0.503,0.012,0.001,0.002,0.01,0
PAT_1217_762_198.png,0.15,0.052,0.001,0.003,0.009,0
PAT_1219_764_111.png,0.28,0.113,0.004,0.008,0.004,0
PAT_121_184_502.png,0.388,0.006,0.001,0.002,0.001,0
PAT_1220_765_464.png,0.366,0.072,0.003,0.001,0.004,0
PAT_1221_766_430.png,0.603,0.007,0.006,0.009,0.004,0
PAT_1222_767_519.png,0.812,0.181,0.003,0.004,0.007,0
PAT_1223_770_120.png,0.122,0.077,0.003,0.006,0.003,0
PAT_1229_794_274.png,0.274,0.016,0.005,0.012,0.007,0
PAT_122_185_957.png,0.543,0.051,0.001,0.001,0.001,0
PAT_122_869_60.png,0.37,0.414,0.003,0.005,0.01,0
PAT_123_186_718.png,0.415,0.308,0.007,0.005,0.01,0
PAT_123_187_164.png,0.537,0.51,0.003,0.004,0.006,0
PAT_1241_824_82.png,0.392,0.073,0.008,0.008,0.007,0
PAT_1242_826_903.png,0.664,0.35,0.0,0.001,0.001,0
PAT_1243_836_47.png,0.333,0.0,0.001,0.002,0.002,0
PAT_1243_837_806.png,0.557,0.35,0.003,0.006,0.01,0
PAT_1244_840_975.png,0.393,0.012,0.0,0.0,0.0,0
PAT_1245_844_471.png,0.338,0.293,0.001,0.002,0.006,0
PAT_1245_845_32.png,0.312,0.281,0.012,0.007,0.009,0
PAT_1246_846_111.png,0.25,1.0,0.006,0.006,0.007,0
PAT_1246_846_899.png,0.475,0.919,0.006,0.006,0.004,0
PAT_1247_852_178.png,0.167,0.08,0.005,0.01,0.003,0
PAT_1249_861_810.png,0.352,0.006,0.0,0.0,0.0,0
PAT_1249_862_658.png,0.157,0.243,0.003,0.006,0.01,0
PAT_1252_866_852.png,0.324,0.037,0.002,0.004,0.013,0
PAT_1255_876_939.png,0.232,0.022,0.002,0.001,0.003,0
PAT_1256_879_199.png,0.193,0.501,0.003,0.003,0.003,0
PAT_1257_887_828.png,0.329,0.359,0.001,0.002,0.003,0
PAT_1259_892_793.png,0.369,0.497,0.004,0.007,0.006,0
PAT_1260_894_63.png,0.122,0.011,0.0,0.0,0.0,0
PAT_1261_896_349.png,0.057,0.055,0.0,0.0,0.002,0
PAT_1264_907_674.png,0.155,0.385,0.007,0.006,0.004,0
PAT_1265_908_754.png,0.155,0.046,0.005,0.006,0.004,0
PAT_1267_912_371.png,0.38,0.057,0.001,0.003,0.027,0
PAT_1269_936_965.png,0.33,0.075,0.006,0.009,0.006,0
PAT_126_190_376.png,0.219,0.041,0.002,0.004,0.003,0
PAT_126_191_304.png,0.568,0.067,0.013,0.006,0.007,0
PAT_126_192_208.png,0.23,0.016,0.004,0.003,0.007,0
PAT_1273_952_89.png,0.211,0.276,0.008,0.006,0.004,0
PAT_1273_953_510.png,0.419,0.311,0.01,0.007,0.004,0
PAT_1274_954_677.png,0.39,0.013,0.0,0.0,0.0,0
PAT_1275_955_131.png,0.701,0.037,0.001,0.005,0.011,0
PAT_1276_957_406.png,0.42,0.013,0.0,0.0,0.0,0
PAT_1277_964_152.png,0.406,0.397,0.008,0.007,0.008,0
PAT_1277_964_77.png,0.133,0.609,0.006,0.006,0.006,0
PAT_1278_965_701.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1278_966_295.png,0.628,1.0,0.005,0.005,0.005,0
PAT_1278_967_599.png,0.373,0.363,0.006,0.006,0.005,0
PAT_1280_972_605.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1280_972_727.png,0.233,1.0,0.002,0.002,0.002,0
PAT_1282_978_328.png,0.367,0.595,0.003,0.004,0.012,0
PAT_1284_995_150.png,0.563,0.005,0.001,0.001,0.001,0
PAT_1286_1000_276.png,0.21,0.15,0.006,0.007,0.007,0
PAT_1286_1000_517.png,0.445,0.256,0.005,0.007,0.007,0
PAT_1286_999_824.png,0.354,1.0,0.002,0.002,0.002,0
PAT_1286_999_846.png,0.305,0.027,0.001,0.011,0.052,0
PAT_1288_1003_553.png,0.27,0.076,0.004,0.004,0.004,0
PAT_1288_1003_969.png,0.206,0.127,0.005,0.005,0.005,0
PAT_128_194_144.png,0.0,0.0,0.0,0.0,0.0,0
PAT_128_194_28.png,0.515,1.0,0.003,0.003,0.003,0
PAT_1294_1031_466.png,0.583,1.0,0.01,0.011,0.011,0
PAT_1296_1038_1.png,0.419,0.034,0.003,0.007,0.003,0
PAT_1297_1048_353.png,0.765,1.0,0.007,0.007,0.006,0
PAT_1298_1050_519.png,0.204,0.21,0.002,0.004,0.015,0
PAT_1298_1051_831.png,0.915,0.191,0.002,0.005,0.007,0
PAT_1299_1055_591.png,0.657,0.038,0.006,0.008,0.01,0
PAT_1300_1056_532.png,0.421,0.268,0.0,0.0,0.001,0
PAT_1301_1063_739.png,0.176,0.018,0.004,0.002,0.002,0
PAT_1303_1077_501.png,0.486,0.024,0.002,0.003,0.006,0
PAT_1304_1079_859.png,0.34,0.2,0.002,0.004,0.011,0
PAT_1304_1081_84.png,0.092,0.379,0.001,0.0,0.001,0
PAT_1304_3507_308.png,0.14,0.343,0.003,0.007,0.025,0
PAT_1305_1082_88.png,0.191,0.092,0.002,0.004,0.004,0
PAT_1305_4097_251.png,0.849,0.124,0.004,0.002,0.055,0
PAT_1306_1086_124.png,0.277,0.097,0.005,0.003,0.003,0
PAT_1306_1086_762.png,0.218,0.246,0.003,0.009,0.017,0
PAT_1307_1088_252.png,0.31,0.054,0.008,0.007,0.008,0
PAT_1307_1092_878.png,0.349,0.022,0.012,0.018,0.021,0
PAT_1308_1095_117.png,0.41,0.392,0.006,0.004,0.007,0
PAT_1309_1096_393.png,0.419,0.018,0.0,0.0,0.0,0
PAT_1310_1097_774.png,0.232,0.102,0.006,0.004,0.007,0
PAT_1312_1102_578.png,0.251,0.135,0.001,0.001,0.001,0
PAT_1313_1105_284.png,0.845,0.11,0.002,0.003,0.008,0
PAT_1314_1108_442.png,0.472,0.04,0.001,0.003,0.003,0
PAT_1315_1110_317.png,0.359,0.003,0.0,0.0,0.0,0
PAT_1316_1114_517.png,0.317,0.277,0.003,0.006,0.01,0
PAT_1317_1130_656.png,0.559,0.505,0.008,0.007,0.007,0
PAT_131_197_260.png,0.479,1.0,0.004,0.004,0.009,0
PAT_131_197_974.png,0.468,0.715,0.007,0.007,0.013,0
PAT_1320_1135_471.png,0.382,0.599,0.007,0.006,0.006,0
PAT_1322_1137_201.png,0.192,0.039,0.003,0.006,0.004,0
PAT_1324_1145_309.png,0.293,0.007,0.001,0.002,0.002,0
PAT_1324_1146_143.png,0.276,0.223,0.002,0.008,0.024,0
PAT_1326_1156_139.png,0.328,0.344,0.009,0.004,0.002,0
PAT_1326_1156_163.png,0.306,0.623,0.005,0.002,0.003,0
PAT_1326_1156_783.png,0.297,0.389,0.007,0.005,0.004,0
PAT_1329_1167_230.png,0.107,1.0,0.002,0.003,0.003,0
PAT_1329_1168_620.png,0.294,0.016,0.0,0.0,0.0,0
PAT_132_198_114.png,0.549,0.221,0.003,0.013,0.007,0
PAT_1330_1172_722.png,0.155,0.751,0.005,0.009,0.001,0
PAT_1331_1173_380.png,0.203,0.179,0.005,0.008,0.01,0
PAT_1332_1174_839.png,0.465,0.062,0.001,0.005,0.005,0
PAT_1333_1177_261.png,0.195,0.113,0.001,0.001,0.001,0
PAT_1333_1177_434.png,0.235,0.024,0.001,0.002,0.002,0
PAT_1334_1178_413.png,0.207,0.239,0.004,0.003,0.005,0
PAT_1335_1181_21.png,0.203,0.138,0.004,0.005,0.013,0
PAT_1340_1207_304.png,0.083,0.0,0.0,0.0,0.001,0
PAT_1340_1208_931.png,0.146,0.005,0.0,0.0,0.0,0
PAT_1341_1212_539.png,0.321,0.053,0.013,0.01,0.006,0
PAT_1343_1217_404.png,0.467,0.007,0.005,0.005,0.005,0
PAT_1344_1222_456.png,0.244,0.462,0.008,0.006,0.001,0
PAT_1345_1223_175.png,0.291,0.113,0.004,0.004,0.011,0
PAT_1347_1226_928.png,0.297,0.513,0.009,0.009,0.005,0
PAT_1349_1229_828.png,0.399,0.387,0.004,0.011,0.022,0
PAT_134_201_587.png,0.341,1.0,0.004,0.007,0.009,0
PAT_1350_1230_878.png,0.316,0.169,0.003,0.003,0.006,0
PAT_1350_1230_925.png,0.296,0.053,0.004,0.002,0.001,0
PAT_1351_1231_203.png,0.232,0.028,0.0,0.0,0.001,0
PAT_135_202_105.png,0.354,0.361,0.003,0.004,0.008,0
PAT_135_202_593.png,0.681,0.073,0.009,0.011,0.014,0
PAT_135_202_695.png,0.463,0.251,0.003,0.004,0.014,0
PAT_1364_1246_143.png,0.052,0.19,0.024,0.016,0.004,0
PAT_1364_1246_238.png,0.052,0.194,0.024,0.015,0.005,0
PAT_1364_1246_420.png,0.216,0.075,0.007,0.006,0.002,0
PAT_1364_1246_447.png,0.204,0.136,0.017,0.015,0.009,0
PAT_1364_1246_583.png,0.294,0.097,0.0,0.0,0.0,0
PAT_1364_1246_927.png,0.07,0.088,0.026,0.017,0.005,0
PAT_1365_1253_912.png,0.167,0.021,0.006,0.004,0.002,0
PAT_1367_1264_801.png,0.4,0.018,0.005,0.006,0.007,0
PAT_1369_1269_370.png,0.417,0.012,0.007,0.003,0.003,0
PAT_1369_1270_496.png,0.227,0.017,0.001,0.002,0.001,0
PAT_136_203_436.png,0.654,0.083,0.007,0.007,0.01,0
PAT_1370_1273_41.png,0.303,0.049,0.01,0.006,0.001,0
PAT_1370_1274_515.png,0.465,0.157,0.006,0.006,0.009,0
PAT_1371_1276_145.png,0.241,0.011,0.0,0.0,0.0,0
PAT_1371_1278_533.png,0.33,0.071,0.001,0.002,0.013,0
PAT_1373_1283_85.png,0.369,0.052,0.007,0.007,0.011,0
PAT_1374_1284_208.png,0.552,0.255,0.003,0.007,0.015,0
PAT_1374_1285_735.png,0.402,0.114,0.003,0.004,0.018,0
PAT_1374_1286_494.png,0.728,0.211,0.005,0.005,0.002,0
PAT_1374_1286_775.png,0.604,0.011,0.0,0.0,0.0,0
PAT_1374_1286_939.png,0.222,0.965,0.007,0.006,0.006,0
PAT_1376_1297_686.png,0.308,0.071,0.003,0.003,0.003,0
PAT_1377_3512_370.png,0.625,1.0,0.007,0.009,0.011,0
PAT_1379_1300_924.png,0.312,0.041,0.0,0.0,0.0,0
PAT_1379_4145_486.png,0.649,0.248,0.007,0.006,0.003,0
PAT_1381_1314_517.png,0.354,0.012,0.002,0.002,0.002,0
PAT_1385_1323_100.png,0.216,0.368,0.002,0.002,0.002,0
PAT_1388_3513_146.png,0.126,0.649,0.003,0.005,0.014,0
PAT_138_205_296.png,0.255,0.309,0.005,0.004,0.007,0
PAT_138_206_507.png,0.228,1.0,0.004,0.005,0.003,0
PAT_1390_1346_709.png,0.446,0.211,0.005,0.004,0.008,0
PAT_1391_1351_396.png,0.519,0.215,0.009,0.008,0.003,0
PAT_1392_1352_778.png,0.452,0.049,0.002,0.001,0.002,0
PAT_1392_1352_828.png,0.35,0.182,0.01,0.007,0.009,0
PAT_1392_1353_161.png,0.771,0.155,0.004,0.007,0.009,0
PAT_1393_1354_535.png,0.51,0.2,0.004,0.006,0.009,0
PAT_1393_1355_270.png,0.521,0.013,0.002,0.003,0.004,0
PAT_1393_1355_316.png,0.448,0.076,0.006,0.005,0.011,0
PAT_1393_1356_371.png,0.406,0.154,0.004,0.004,0.004,0
PAT_1396_1360_4.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1397_1361_183.png,0.332,0.089,0.001,0.001,0.001,0
PAT_1399_1367_121.png,0.454,0.119,0.007,0.012,0.015,0
PAT_139_207_342.png,0.569,0.069,0.002,0.003,0.009,0
PAT_13_21_350.png,0.114,0.322,0.0,0.0,0.001,0
PAT_1400_1372_276.png,0.314,0.066,0.004,0.004,0.005,0
PAT_1401_1373_881.png,0.375,0.279,0.002,0.003,0.003,0
PAT_1401_1374_593.png,0.324,0.074,0.002,0.003,0.007,0
PAT_1402_1376_160.png,0.142,0.039,0.005,0.004,0.005,0
PAT_1402_1376_507.png,0.275,0.023,0.003,0.003,0.007,0
PAT_1402_1377_799.png,0.198,0.014,0.001,0.002,0.004,0
PAT_1402_1377_959.png,0.133,0.015,0.004,0.005,0.007,0
PAT_1403_1392_407.png,0.484,0.179,0.01,0.009,0.027,0
PAT_1403_1392_848.png,0.491,0.203,0.005,0.005,0.016,0
PAT_1404_1393_369.png,0.697,0.121,0.004,0.009,0.019,0
PAT_1404_1393_540.png,0.104,0.444,0.007,0.006,0.006,0
PAT_1405_1395_96.png,0.363,0.031,0.007,0.009,0.012,0
PAT_1406_1396_511.png,0.385,0.022,0.001,0.002,0.006,0
PAT_1406_1397_669.png,0.139,0.008,0.0,0.0,0.0,0
PAT_1407_1402_347.png,0.244,0.012,0.0,0.0,0.0,0
PAT_1407_1402_500.png,0.475,0.204,0.004,0.004,0.005,0
PAT_1407_1402_562.png,0.557,0.033,0.002,0.001,0.001,0
PAT_1407_1402_734.png,0.497,0.076,0.003,0.004,0.006,0
PAT_1408_1404_929.png,0.302,0.369,0.005,0.005,0.003,0
PAT_1408_1406_950.png,0.354,0.05,0.002,0.004,0.003,0
PAT_1410_1410_46.png,0.323,0.049,0.003,0.004,0.005,0
PAT_1411_1414_355.png,0.42,0.01,0.0,0.0,0.001,0
PAT_1411_1415_723.png,0.258,0.134,0.002,0.002,0.002,0
PAT_1412_1421_512.png,0.327,1.0,0.008,0.008,0.008,0
PAT_1414_1426_124.png,0.456,0.137,0.004,0.007,0.009,0
PAT_1414_1429_53.png,0.011,0.953,0.003,0.003,0.033,0
PAT_1414_1429_59.png,0.381,0.021,0.001,0.001,0.008,0
PAT_1414_1431_754.png,0.0,0.0,0.0,0.0,0.0,0
PAT_1414_1432_969.png,0.394,0.25,0.008,0.008,0.021,0
PAT_1414_1433_570.png,0.399,0.255,0.005,0.015,0.02,0
PAT_1414_1433_806.png,0.346,0.019,0.004,0.011,0.013,0
PAT_1415_1437_527.png,0.34,1.0,0.007,0.01,0.002,0
PAT_1415_1437_743.png,0.29,0.212,0.006,0.007,0.008,0
PAT_1415_1439_295.png,0.269,0.017,0.002,0.002,0.002,0
PAT_1415_1440_629.png,0.558,0.052,0.008,0.007,0.008,0
PAT_1418_1447_334.png,0.381,0.048,0.004,0.004,0.013,0
PAT_1418_1447_360.png,0.345,0.096,0.007,0.007,0.012,0
PAT_1418_1448_307.png,0.192,0.151,0.001,0.002,0.001,0
PAT_1418_1449_580.png,0.309,0.036,0.0,0.0,0.0,0
PAT_1418_1452_948.png,0.089,1.0,0.002,0.007,0.022,0
PAT_141_209_438.png,0.136,0.403,0.007,0.009,0.006,0
PAT_1420_1460_733.png,0.455,0.026,0.002,0.004,0.005,0
PAT_1420_1460_951.png,0.219,0.048,0.002,0.003,0.006,0
PAT_1420_1461_93.png,0.789,0.066,0.003,0.002,0.001,0
PAT_1421_1464_297.png,0.363,0.008,0.009,0.008,0.006,0
PAT_1423_1472_18.png,0.291,0.013,0.006,0.008,0.008,0
PAT_1427_1485_119.png,0.354,0.583,0.003,0.004,0.004,0
PAT_1427_1485_15.png,0.1,1.0,0.007,0.006,0.007,0
PAT_1428_1489_38.png,0.657,0.008,0.0,0.0,0.0,0
PAT_1428_1489_454.png,0.219,0.007,0.0,0.0,0.0,0
PAT_1429_1491_451.png,0.403,0.013,0.001,0.003,0.007,0
PAT_142_210_904.png,0.388,0.836,0.008,0.008,0.008,0
PAT_1431_1495_511.png,0.49,0.025,0.009,0.006,0.007,0
PAT_1431_1495_931.png,0.347,0.009,0.011,0.013,0.006,0
PAT_1432_1497_328.png,0.508,0.01,0.003,0.004,0.005,0
PAT_1433_1499_29.png,0.304,0.012,0.002,0.002,0.001,0
PAT_1439_1521_868.png,0.305,0.072,0.007,0.006,0.004,0
PAT_1439_1522_211.png,0.444,0.022,0.007,0.006,0.01,0
PAT_1439_1522_320.png,0.533,0.025,0.006,0.006,0.008,0
PAT_143_213_489.png,0.0,0.0,0.0,0.0,0.0,0
