lesion_id,asymmetry_score,border_score,color_score_red,color_score_green,color_score_blue
img_1158,0.367,0.659,0.008,0.006,0.006
img_1159,0.154,0.215,0.002,0.005,0.004
img_1163,0.326,0.121,0.009,0.008,0.003
img_1164,0.113,0.687,0.009,0.006,0.005
img_1166,0.798,0.034,0.006,0.002,0.001
img_1167,0.458,1.0,0.012,0.003,0.005
img_1168,0.274,0.536,0.002,0.001,0.001
img_1169,0.268,1.0,0.007,0.004,0.003
img_1172,0.236,0.319,0.004,0.004,0.002
img_1173,0.25,0.251,0.002,0.002,0.001
img_1174,0.244,0.124,0.007,0.003,0.001
img_1175,0.25,0.0,0.012,0.012,0.007
img_1176,0.244,0.05,0.003,0.005,0.002
img_1177,0.35,0.023,0.0,0.0,0.0
img_1178,0.345,1.0,0.02,0.001,0.003
img_1179,0.457,0.048,0.0,0.0,0.0
img_1180,0.318,0.259,0.014,0.003,0.003
img_1181,0.25,0.0,0.007,0.009,0.008
img_1182,0.483,0.076,0.011,0.006,0.007
img_1183,0.0,0.0,0.0,0.0,0.0
img_1184,0.228,0.064,0.003,0.006,0.005
img_1185,0.165,0.292,0.022,0.008,0.002
img_1186,0.966,0.031,0.004,0.002,0.001
img_1187,0.127,0.297,0.006,0.002,0.002
img_1188,0.614,0.394,0.003,0.002,0.002
img_1191,0.417,0.07,0.004,0.003,0.0
img_1192,0.454,0.068,0.004,0.002,0.002
img_1196,0.514,1.0,0.009,0.004,0.003
img_1199,0.0,0.0,0.0,0.0,0.0
img_1200,0.287,0.2,0.011,0.015,0.014
img_1204,0.123,0.265,0.001,0.004,0.002
img_1206,0.813,0.158,0.009,0.004,0.005
img_1207,0.587,0.018,0.002,0.002,0.003
img_1208,0.218,0.142,0.004,0.003,0.001
img_1210,0.285,0.144,0.006,0.006,0.005
img_1211,0.363,0.083,0.012,0.002,0.001
img_1212,0.862,0.306,0.008,0.006,0.005
img_1217,0.182,0.171,0.004,0.008,0.006
img_1222,0.814,0.228,0.007,0.002,0.002
img_1223,0.595,0.268,0.011,0.004,0.007
img_1224,0.198,0.377,0.025,0.005,0.002
img_1225,0.295,0.04,0.009,0.001,0.001
img_1226,0.352,0.096,0.013,0.003,0.003
img_1227,0.126,0.598,0.006,0.002,0.006
img_1229,0.608,0.405,0.007,0.008,0.009
img_1230,0.267,0.619,0.011,0.007,0.004
img_1231,0.176,0.332,0.013,0.001,0.0
img_1232,0.862,0.291,0.012,0.004,0.005
img_1233,0.356,0.006,0.0,0.0,0.0
img_1234,0.301,0.059,0.002,0.011,0.014
img_1241,0.253,0.399,0.017,0.003,0.0
img_1244,0.122,0.223,0.004,0.006,0.004
img_1245,0.147,0.113,0.013,0.003,0.0
img_1246,0.237,0.61,0.01,0.002,0.001
img_1247,0.591,0.022,0.0,0.0,0.0
img_1834,0.583,1.0,0.008,0.005,0.005
img_1835,0.133,0.223,0.003,0.007,0.005
img_1836,0.175,0.198,0.01,0.007,0.005
img_1837,0.327,0.193,0.016,0.003,0.004
img_1839,0.365,0.039,0.013,0.002,0.001
img_1841,0.143,0.872,0.01,0.007,0.006
img_1842,0.164,0.122,0.001,0.004,0.003
img_1843,0.148,0.072,0.005,0.011,0.008
img_1844,0.237,0.074,0.0,0.0,0.0
img_1847,0.535,0.121,0.002,0.003,0.002
img_1848,0.324,0.068,0.005,0.007,0.007
img_1849,0.293,0.05,0.012,0.003,0.0
img_1851,0.963,0.068,0.002,0.002,0.002
img_1852,0.156,0.138,0.019,0.006,0.004
img_1853,0.487,0.059,0.004,0.006,0.004
img_1854,0.43,0.051,0.012,0.008,0.007
img_1855,0.223,0.099,0.003,0.005,0.003
img_1856,0.916,0.023,0.002,0.001,0.003
img_1858,0.412,0.019,0.0,0.0,0.001
img_1859,0.144,0.519,0.0,0.0,0.0
img_1860,0.336,0.458,0.007,0.004,0.004
img_1861,0.293,0.514,0.008,0.006,0.011
img_1862,0.571,0.454,0.001,0.001,0.001
img_1864,0.127,0.196,0.003,0.004,0.003
img_1865,0.298,0.02,0.002,0.002,0.002
img_1866,0.16,0.489,0.004,0.004,0.003
img_1867,0.413,0.064,0.003,0.004,0.002
img_1871,0.297,0.459,0.005,0.001,0.001
img_1872,0.2,1.0,0.009,0.004,0.003
img_1874,0.258,0.251,0.008,0.005,0.003
img_1875,0.222,0.293,0.017,0.002,0.001
img_1876,0.202,0.221,0.009,0.006,0.003
img_1882,0.545,0.228,0.011,0.004,0.004
img_1886,0.14,0.764,0.018,0.001,0.004
